symbol,longName,industry,totalDebt_usd,Agency Rating
GPI,"Group 1 Automotive, Inc.",Auto & Truck Dealerships,,BB+
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,,BB+
SAH,"Sonic Automotive, Inc.",Auto & Truck Dealerships,,BB
CWH,"Camping World Holdings, Inc.",Auto & Truck Dealerships,,B
IHCPF,Inchcape plc,Auto & Truck Dealerships,,BBB
OPLN,"OPENLANE, Inc.",Auto & Truck Dealerships,,B
AZO,"AutoZone, Inc.",Auto Parts,"12,750,193,664",BBB
FURCF,Forvia SE,Auto Parts,"11,508,881,567",BB+
GT,The Goodyear Tire & Rubber Company,Auto Parts,"8,032,000,000",B+
GPC,Genuine Parts Company,Auto Parts,"6,713,816,064",BBB-
AAP,"Advance Auto Parts, Inc.",Auto Parts,"5,649,999,872",BB
LKQ,LKQ Corporation,Auto Parts,"5,235,999,744",BBB-
NPSGF,"Nippon Sheet Glass Company, Limited",Auto Parts,"3,408,685,407",BB+
ALV,"Autoliv, Inc.",Auto Parts,"2,252,000,000",BBB+
DAN,Dana Incorporated,Auto Parts,"1,535,000,064",BB
CPS,Cooper-Standard Holdings Inc.,Auto Parts,"1,243,230,976",B-
DORM,"Dorman Products, Inc.",Auto Parts,"548,238,016",BB
VC,Visteon Corporation,Auto Parts,"436,000,000",BB+
JELCF,Johnson Electric Holdings Limited,Auto Parts,"383,512,992",BBB
DNZOY,DENSO Corporation,Auto Parts,,A+
BRDCF,Bridgestone Corporation,Auto Parts,,AA+
ASEKF,Aisin Corporation,Auto Parts,,A
APTV,Aptiv PLC,Auto Parts,,BBB
BUD,Anheuser-Busch InBev SA/NV,Beverages - Brewers,"73,333,997,568",A-
HKHHY,Heineken Holding N.V.,Beverages - Brewers,"22,236,447,571",BBB+
TAP,Molson Coors Beverage Company,Beverages - Brewers,"6,485,300,224",BBB
ABEV,Ambev S.A.,Beverages - Brewers,"601,187,023",BBB+
STZ,"Constellation Brands, Inc.",Beverages - Brewers,,BBB
PEP,"PepsiCo, Inc.",Beverages - Non-Alcoholic,"52,728,000,512",A+
KO,The Coca-Cola Company,Beverages - Non-Alcoholic,"44,646,998,016",A
COKE,"Coca-Cola Consolidated, Inc.",Beverages - Non-Alcoholic,"1,118,844,032",BBB+
EMBVF,Arca Continental,Beverages - Non-Alcoholic,,A
