symbol,longName,industry,totalDebt_usd,Agency Rating
MELI,"MercadoLibre, Inc.",Internet Retail,"12,376,000,512",BBB-
W,Wayfair Inc.,Internet Retail,"3,673,999,872",B+
BABA,Alibaba Group Holding Limited,Internet Retail,,A+
MCARY,"Mercari, Inc.",Internet Retail,,BBB
JD,"JD.com, Inc.",Internet Retail,,A-
PROSY,Prosus N.V.,Internet Retail,,BBB
EBAY,eBay Inc.,Internet Retail,,BBB+
HAS,"Hasbro, Inc.",Leisure,"3,873,200,128",BBB
MAT,"Mattel, Inc.",Leisure,"2,675,515,904",BBB
ANPDF,ANTA Sports Products Limited,Leisure,,A-
FUN,Six Flags Entertainment Corporation,Leisure,,B+
LTH,"Life Time Group Holdings, Inc.",Leisure,,BB
LUCK,Lucky Strike Entertainment Corporation,Leisure,,B
MAR,"Marriott International, Inc.",Lodging,"17,405,999,104",BBB
HLT,Hilton Worldwide Holdings Inc.,Lodging,"13,057,999,872",BB+
IHG,InterContinental Hotels Group PLC,Lodging,"4,618,999,808",BBB
H,Hyatt Hotels Corporation,Lodging,"4,513,999,872",BBB-
CHH,"Choice Hotels International, Inc.",Lodging,"2,109,619,968",BBB-
MNILY,Minor International Public Company,Lodging,,BBB+
ACCYY,Accor SA,Lodging,,BBB-
WH,Wyndham Hotels & Resorts,Lodging,,BB+
WFG,West Fraser Timber,Lumber & Wood Production,,BBB-
BCC,Boise Cascade Company,Lumber & Wood Production,,BB
CHDRY,Christian Dior SE,Luxury Goods,"42,438,293,309",AA-
SIG,Signet Jewelers Limited,Luxury Goods,"1,223,600,000",BB
LVMUY,LVMH,Luxury Goods,,AA-
PPRUF,Kering SA,Luxury Goods,,BBB+
TPR,"Tapestry, Inc.",Luxury Goods,,BBB
BBRYF,Burberry Group plc,Luxury Goods,,BBB-
CPRI,Capri Holdings Limited,Luxury Goods,,BB
HCA,"HCA Healthcare, Inc.",Medical Care Facilities,"49,844,998,144",BBB-
DVA,DaVita Inc.,Medical Care Facilities,"13,220,841,472",BB
FMS,Fresenius Medical Care AG,Medical Care Facilities,"12,738,398,516",BBB
MD,"Pediatrix Medical Group, Inc.",Medical Care Facilities,"629,715,008",BB
THC,Tenet Healthcare Corporation,Medical Care Facilities,,BB
ABT,Abbott Laboratories,Medical Devices,"34,136,000,512",A+
MDT,Medtronic plc,Medical Devices,"28,071,000,064",A
SYK,Stryker Corporation,Medical Devices,"15,233,999,872",BBB+
BSX,Boston Scientific Corporation,Medical Devices,"11,029,000,192",A-
PHG,Koninklijke Philips N.V.,Medical Devices,"9,339,100,510",BBB+
ZBH,"Zimmer Biomet Holdings, Inc.",Medical Devices,"7,586,999,808",BBB
WILYY,Demant A/S,Medical Devices,"3,238,359,183",A+
QDEL,QuidelOrtho Corporation,Medical Devices,"2,874,700,032",B
STE,STERIS plc,Medical Devices,"2,087,100,032",BBB
BIO,"Bio-Rad Laboratories, Inc.",Medical Devices,"1,378,200,064",BBB
PODD,Insulet Corporation,Medical Devices,"1,014,000,000",BB
EW,Edwards Lifesciences Corporation,Medical Devices,"702,899,968",BBB
COR,"Cencora, Inc.",Medical Distribution,"15,092,111,360",BBB+
CAH,"Cardinal Health, Inc.",Medical Distribution,"8,915,999,744",BBB
MCK,McKesson Corporation,Medical Distribution,"8,785,999,872",A-
EBOSF,EBOS Group Limited,Medical Distribution,,A-
MAHLY,Medipal Holdings Corporation,Medical Distribution,,A+
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,"17,279,000,576",BBB
BAX,Baxter International Inc.,Medical Instruments & Supplies,"9,687,000,064",BBB-
SUVPF,Sartorius Aktiengesellschaft,Medical Instruments & Supplies,"4,960,668,915",BBB-
COO,"The Cooper Companies, Inc.",Medical Instruments & Supplies,"2,726,599,936",BB+
XRAY,DENTSPLY SIRONA Inc.,Medical Instruments & Supplies,"2,344,999,936",BBB-
ATR,"AptarGroup, Inc.",Medical Instruments & Supplies,"1,436,706,048",BBB+
CMC,Commercial Metals Company,Metal Fabrication,"3,596,049,920",BB+
ATI,ATI Inc.,Metal Fabrication,"1,827,900,032",BB
CRS,Carpenter Technology Corporation,Metal Fabrication,"699,299,968",BB+
WOR,"Worthington Enterprises, Inc.",Metal Fabrication,"357,679,008",BBB-
NBR,Nabors Industries Ltd.,Oil & Gas Drilling,"2,128,199,040",B
HP,"Helmerich & Payne, Inc.",Oil & Gas Drilling,"2,002,433,024",BBB
PDS,Precision Drilling Corporation,Oil & Gas Drilling,"523,676,781",BB-
NE,Noble Corporation,Oil & Gas Drilling,,BB-
RIG,Transocean Ltd.,Oil & Gas Drilling,,B-
COP,ConocoPhillips,Oil & Gas E&P,"23,327,000,576",A-
OXY,Occidental Petroleum Corporation,Oil & Gas E&P,"16,611,000,320",BB+
FANG,"Diamondback Energy, Inc.",Oil & Gas E&P,"13,898,000,384",BBB+
DVN,Devon Energy Corporation,Oil & Gas E&P,"8,702,000,128",BBB+
SM,SM Energy Company,Oil & Gas E&P,"8,558,000,128",BB
EOG,"EOG Resources, Inc.",Oil & Gas E&P,"8,305,999,872",A-
EQT,EQT Corporation,Oil & Gas E&P,"5,992,411,136",BBB-
AR,Antero Resources Corporation,Oil & Gas E&P,"4,750,665,216",BBB-
APA,APA Corporation,Oil & Gas E&P,"4,536,000,000",BBB-
MTDR,Matador Resources Company,Oil & Gas E&P,"3,570,465,024",BB-
KOS,Kosmos Energy Ltd.,Oil & Gas E&P,"2,987,828,992",B-
NOG,"Northern Oil and Gas, Inc.",Oil & Gas E&P,"2,551,527,936",B+
CNX,CNX Resources Corporation,Oil & Gas E&P,"2,536,599,040",BB+
MUR,Murphy Oil Corporation,Oil & Gas E&P,"2,300,069,120",BB
RRC,Range Resources Corporation,Oil & Gas E&P,"979,137,984",BB+
UNEGF,United Energy Group Limited,Oil & Gas E&P,"488,961,415",B+
SLB,SLB N.V.,Oil & Gas Equipment & Services,"11,628,999,680",A
HAL,Halliburton Company,Oil & Gas Equipment & Services,"8,080,999,936",BBB+
NOV,NOV Inc.,Oil & Gas Equipment & Services,"2,339,000,064",BBB
FTI,TechnipFMC plc,Oil & Gas Equipment & Services,"1,304,099,968",BBB-
BKR,Baker Hughes,Oil & Gas Equipment & Services,,A
RYDAF,Shell plc,Oil & Gas Integrated,"75,645,001,728",A+
BP,BP p.l.c.,Oil & Gas Integrated,"74,178,002,944",A-
TTE,TotalEnergies SE,Oil & Gas Integrated,"64,250,998,784",A+
XOM,Exxon Mobil Corporation,Oil & Gas Integrated,"47,660,998,656",AA-
CVX,Chevron Corporation,Oil & Gas Integrated,"45,427,998,720",AA-
E,Eni S.p.A.,Oil & Gas Integrated,"42,178,780,758",A-
STOHF,Equinor ASA,Oil & Gas Integrated,"31,857,000,448",AA-
SU,Suncor Energy Inc.,Oil & Gas Integrated,"10,595,514,641",BBB-
OMVKY,OMV Aktiengesellschaft,Oil & Gas Integrated,"9,238,754,413",A-
GLPEF,"Galp Energia, SGPS, S.A.",Oil & Gas Integrated,"5,031,141,849",BBB-
NFG,National Fuel Gas Company,Oil & Gas Integrated,"2,426,181,888",BBB
TRP,TC Energy Corporation,Oil & Gas Midstream,"44,257,659,948",BBB+
OKE,"ONEOK, Inc.",Oil & Gas Midstream,"33,652,000,768",BBB
KMI,"Kinder Morgan, Inc.",Oil & Gas Midstream,"32,205,000,704",BBB+
WMB,"The Williams Companies, Inc.",Oil & Gas Midstream,"30,301,999,104",BBB
LNG,"Cheniere Energy, Inc.",Oil & Gas Midstream,"27,847,999,488",BBB+
TRGP,Targa Resources Corp.,Oil & Gas Midstream,"19,131,799,552",BBB-
PAA,"Plains All American Pipeline, L.P.",Oil & Gas Midstream,"11,578,000,384",BBB
WES,"Western Midstream Partners, LP",Oil & Gas Midstream,"8,707,448,832",BBB-
GEL,"Genesis Energy, L.P.",Oil & Gas Midstream,"3,176,176,128",B+
GLP,Global Partners LP,Oil & Gas Midstream,"2,245,167,104",BB-
MPC,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,"34,325,999,616",BBB
PSX,Phillips 66,Oil & Gas Refining & Marketing,"27,124,000,768",BBB+
VLO,Valero Energy Corporation,Oil & Gas Refining & Marketing,"11,491,000,320",BB-
PBF,PBF Energy Inc.,Oil & Gas Refining & Marketing,"3,601,600,000",BB
DK,"Delek US Holdings, Inc.",Oil & Gas Refining & Marketing,"3,399,000,064",BB-
DINO,HF Sinclair Corporation,Oil & Gas Refining & Marketing,"3,372,999,936",BBB-
PARR,"Par Pacific Holdings, Inc.",Oil & Gas Refining & Marketing,"1,357,059,968",B+
TCKRF,Teck Resources Limited,Other Industrial Metals & Mining,"6,872,205,514",BBB-
AMVMF,AMG Critical Materials N.V.,Other Industrial Metals & Mining,"847,324,032",B
CMP,"Compass Minerals International, Inc.",Other Industrial Metals & Mining,"775,400,000",B
AUSDF,Perenti Limited,Other Industrial Metals & Mining,"462,198,056",BB+
BHP,BHP Group Limited,Other Industrial Metals & Mining,,A
RIO,Rio Tinto Group,Other Industrial Metals & Mining,,A
GLNCY,Glencore plc,Other Industrial Metals & Mining,,BBB+
VALE,Vale S.A.,Other Industrial Metals & Mining,,BBB
NGLOY,Anglo American plc,Other Industrial Metals & Mining,,BBB
FSUGY,Fortescue Ltd,Other Industrial Metals & Mining,,BB+
TECK,Teck Resources Limited,Other Industrial Metals & Mining,,BBB-
SOUHY,South32 Limited,Other Industrial Metals & Mining,,BBB+
IVPAF,Ivanhoe Mines Ltd,Other Industrial Metals & Mining,,B-
KHC,The Kraft Heinz Company,Packaged Foods,"21,133,000,704",BBB
POST,"Post Holdings, Inc.",Packaged Foods,"7,631,399,936",B+
CPB,The Campbell's Company,Packaged Foods,"7,336,000,000",BBB-
CAG,"Conagra Brands, Inc.",Packaged Foods,"7,332,400,128",BBB-
MKC,"McCormick & Company, Incorporated",Packaged Foods,"4,923,400,192",BBB
DAR,Darling Ingredients Inc.,Packaged Foods,"4,347,005,952",BB+
PPC,Pilgrim's Pride Corporation,Packaged Foods,"3,348,645,888",BBB-
NOMD,Nomad Foods Limited,Packaged Foods,"2,654,325,290",BB-
HLF,Herbalife Ltd.,Packaged Foods,"2,182,200,064",B+
INGR,Ingredion Incorporated,Packaged Foods,"1,824,999,936",BBB
FLO,"Flowers Foods, Inc.",Packaged Foods,"1,465,965,952",BBB-
PRRFY,Premier Foods plc,Packaged Foods,"453,179,073",BB+
SMPL,The Simply Good Foods Company,Packaged Foods,"449,846,016",BB-
NSRGY,Nestl S.A.,Packaged Foods,,AA-
DANOY,Danone S.A.,Packaged Foods,,BBB+
IP,International Paper Company,Packaging & Containers,"9,758,999,552",BBB
CCK,"Crown Holdings, Inc.",Packaging & Containers,"6,465,999,872",BB+
GPK,Graphic Packaging Holding Company,Packaging & Containers,"5,788,000,256",BB
SON,Sonoco Products Company,Packaging & Containers,"5,007,867,904",BBB-
PKG,Packaging Corporation of America,Packaging & Containers,"4,366,900,224",BBB
AVY,Avery Dennison Corporation,Packaging & Containers,"3,790,099,968",BBB
AMCCF,Amcor plc,Packaging & Containers,,BBB
SW,Smurfit Westrock plc,Packaging & Containers,,BBB+
BALL,Ball Corporation,Packaging & Containers,,BB+
SLGN,Silgan Holdings,Packaging & Containers,,BB+
CCDBF,CCL Industries Inc.,Packaging & Containers,,BBB
SPPJY,Sappi Limited,Paper & Paper Products,"2,156,000,000",BB
MERC,Mercer International Inc.,Paper & Paper Products,"1,624,365,952",CCC+
CLW,Clearwater Paper Corporation,Paper & Paper Products,"373,200,000",CCC+
KLBAY,Klabin SA,Paper & Paper Products,,BB+
UPMMY,UPM-Kymmene Corp.,Paper & Paper Products,,BBB
SUZ,Suzano S.A.,Paper & Paper Products,,BBB-
MNODF,Mondi plc,Paper & Paper Products,,BBB
SLVM,Sylvamo Corporation,Paper & Paper Products,,BB+
SCI,Service Corporation International,Personal Services,"5,162,816,000",BB+
HRB,"H&R Block, Inc.",Personal Services,"2,025,762,944",BBB
FTDR,"Frontdoor, Inc.",Personal Services,"1,199,000,064",BB-
BFAM,Bright Horizons Family Solutions Inc.,Personal Services,,BB
ROL,"Rollins, Inc.",Personal Services,,BBB+
CSV,Carriage Services Inc.,Personal Services,,B+
EJPRY,East Japan Railway Company,Railroads,"30,276,721,780",AA+
CSX,CSX Corporation,Railroads,"19,428,999,168",BBB+
NSC,Norfolk Southern Corporation,Railroads,"17,635,000,320",BBB+
CP,Canadian Pacific Kansas City Limited,Railroads,"17,396,901,945",BBB+
CNI,Canadian National Railway Company,Railroads,"16,213,741,208",A
WAB,Westinghouse Air Brake Technologies Corporation,Railroads,"6,917,000,192",BBB
TRN,"Trinity Industries, Inc.",Railroads,"5,391,499,776",BB+
QRNNF,Aurizon Holdings Limited,Railroads,"3,962,911,158",BBB+
GBX,"The Greenbrier Companies, Inc.",Railroads,"1,840,899,968",BB-
CCS,"Century Communities, Inc.",Real Estate - Development,"1,538,748,032",BB
CTPVF,CTP N.V.,Real Estate - Development,,BBB
LGFRY,Longfor Group Holdings Limited,Real Estate - Development,,BB-
HHH,Howard Hughes Holdings Inc.,Real Estate - Development,,BB+
KRYPY,Kerry Properties,Real Estate - Development,,BBB-
LLESF,Lendlease Group,Real Estate - Diversified,"2,940,517,745",BBB-
DITTF,"Daito Trust Construction Co.,Ltd.",Real Estate - Diversified,"1,458,815,625",BBB
TAGYY,TAG Immobilien AG,Real Estate - Diversified,,BBB-
JLL,Jones Lang LaSalle Incorporated,Real Estate Services,"3,975,500,032",BBB+
CSGP,"CoStar Group, Inc.",Real Estate Services,"1,155,000,064",BB+
CBRE,"CBRE Group, Inc.",Real Estate Services,,BBB+
VONOY,Vonovia SE,Real Estate Services,,BBB+
VTWRF,Vantage Towers AG,Real Estate Services,,BBB-
BC,Brunswick Corporation,Recreational Vehicles,"2,441,700,096",BBB-
PII,Polaris Inc.,Recreational Vehicles,"2,205,600,000",BBB-
HOG,"Harley-Davidson, Inc.",Recreational Vehicles,"2,200,221,952",BBB-
THO,"THOR Industries, Inc.",Recreational Vehicles,"919,264,000",BB
WGO,"Winnebago Industries, Inc.",Recreational Vehicles,"478,200,000",BB-
DOO,BRP Inc.,Recreational Vehicles,,BB+
PATK,Patrick Industries,Recreational Vehicles,,BB
LCII,LCI Industries,Recreational Vehicles,,BB-
VTR,"Ventas, Inc.",REIT - Healthcare Facilities,"12,726,149,120",BBB+
WELL,Welltower Inc.,REIT - Healthcare Facilities,,A-
OHI,"Omega Healthcare Investors, Inc.",REIT - Healthcare Facilities,,BBB-
CTRE,"CareTrust REIT, Inc.",REIT - Healthcare Facilities,,BBB-
HST,"Host Hotels & Resorts, Inc.",REIT - Hotel & Motel,"5,645,000,192",BBB-
PEB,Pebblebrook Hotel Trust,REIT - Hotel & Motel,"2,456,964,096",B
RLJ,RLJ Lodging Trust,REIT - Hotel & Motel,"2,308,418,048",B+
DRH,DiamondRock Hospitality Company,REIT - Hotel & Motel,"1,195,531,008",BBB-
RHP,"Ryman Hospitality Properties, Inc.",REIT - Hotel & Motel,,BB
PLD,"Prologis, Inc.",REIT - Industrial,"35,310,190,592",A
EXR,Extra Space Storage Inc.,REIT - Industrial,"13,941,396,480",BBB+
CUBE,CubeSmart,REIT - Industrial,"3,505,200,896",BBB
PSA,Public Storage,REIT - Industrial,,A
EGP,"EastGroup Properties, Inc.",REIT - Industrial,,BBB+
BXP,"BXP, Inc.",REIT - Office,"16,362,374,144",BBB
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,"12,878,605,312",BBB+
VNO-PL,Vornado Realty Trust,REIT - Office,"8,462,876,160",BB+
SLG,SL Green Realty Corp.,REIT - Office,"6,543,857,152",BB
KRC,Kilroy Realty Corporation,REIT - Office,"4,716,805,120",BBB-
HPP,"Hudson Pacific Properties, Inc.",REIT - Office,"3,756,483,072",B
AVB,"AvalonBay Communities, Inc.",REIT - Residential,"9,524,757,504",A-
EQR,Equity Residential,REIT - Residential,"8,643,318,784",A-
ESS,"Essex Property Trust, Inc.",REIT - Residential,"6,857,027,072",BBB+
UDR,"UDR, Inc.",REIT - Residential,"5,845,310,976",BBB+
MAA,"Mid-America Apartment Communities, Inc.",REIT - Residential,"5,680,351,232",A-
AMH,American Homes 4 Rent,REIT - Residential,"5,145,438,208",BBB
SUI,"Sun Communities, Inc.",REIT - Residential,"4,291,699,968",BBB+
CPT,Camden Property Trust,REIT - Residential,"4,275,068,928",A-
ELS,"Equity LifeStyle Properties, Inc.",REIT - Residential,"3,290,608,896",BBB+
O,Realty Income Corporation,REIT - Retail,"30,294,552,576",A-
SPG,"Simon Property Group, Inc.",REIT - Retail,"28,989,048,832",A
UNBLF,Unibail-Rodamco-Westfield SE,REIT - Retail,"27,090,082,500",BBB+
KIM,Kimco Realty Corporation,REIT - Retail,"8,308,660,224",A-
BRX,Brixmor Property Group Inc.,REIT - Retail,"5,546,542,080",BBB
REG,Regency Centers Corporation,REIT - Retail,"5,245,984,768",A-
FRT,Federal Realty Investment Trust,REIT - Retail,"4,934,187,008",BBB+
WRDEF,Wereldhave N.V.,REIT - Retail,"1,344,901,940",BBB
AMT,American Tower Corporation,REIT - Specialty,"45,131,198,464",BBB+
CCI,Crown Castle Inc.,REIT - Specialty,"29,878,999,040",BBB
EQIX,"Equinix, Inc.",REIT - Specialty,"23,335,999,488",BBB+
IRM,Iron Mountain Incorporated,REIT - Specialty,"19,716,626,432",BB-
DLR,"Digital Realty Trust, Inc.",REIT - Specialty,"19,452,149,760",BBB+
SBAC,SBA Communications Corporation,REIT - Specialty,"15,421,450,240",BBB-
UNIT,Uniti Group Inc.,REIT - Specialty,"11,112,999,936",B-
WY,Weyerhaeuser Company,REIT - Specialty,"5,448,999,936",BBB
AER,AerCap Holdings N.V.,Rental & Leasing Services,"43,125,653,504",BBB+
CAR,"Avis Budget Group, Inc.",Rental & Leasing Services,"27,672,000,512",BB-
URI,"United Rentals, Inc.",Rental & Leasing Services,"15,018,999,808",BB+
R,"Ryder System, Inc.",Rental & Leasing Services,"8,716,999,680",BBB+
DHI,"D.R. Horton, Inc.",Residential Construction,"6,643,400,192",BBB+
LEN-B,Lennar Corporation,Residential Construction,"5,506,315,776",BBB
PHM,"PulteGroup, Inc.",Residential Construction,"2,453,818,112",BBB+
TMHC,Taylor Morrison Home Corporation,Residential Construction,"2,414,603,008",BB+
KBH,KB Home,Residential Construction,"1,921,730,944",BB+
MTH,Meritage Homes Corporation,Residential Construction,"1,902,057,984",BBB-
BZH,"Beazer Homes USA, Inc.",Residential Construction,"1,251,389,056",B
TPH,"Tri Pointe Homes, Inc.",Residential Construction,"1,249,508,992",BB
HOV,"Hovnanian Enterprises, Inc.",Residential Construction,"1,077,022,976",B+
MGM,MGM Resorts International,Resorts & Casinos,"31,693,570,048",BB-
CZR,"Caesars Entertainment, Inc.",Resorts & Casinos,"25,994,000,384",B+
LVS,Las Vegas Sands Corp.,Resorts & Casinos,"15,781,000,192",BBB
WYNN,"Wynn Resorts, Limited",Resorts & Casinos,"12,159,864,832",BB-
PENN,"PENN Entertainment, Inc.",Resorts & Casinos,"11,192,999,936",B
MDEVF,Melco International Development Limited,Resorts & Casinos,"7,593,313,366",BB-
VAC,Marriott Vacations Worldwide Corporation,Resorts & Casinos,"5,647,000,064",B+
BYD,Boyd Gaming Corporation,Resorts & Casinos,"2,921,530,112",BB
HGV,Hilton Grand Vacations Inc.,Resorts & Casinos,,BB-
MLCO,Melco Resorts,Resorts & Casinos,,BB-
BALY,Bally's Corporation,Resorts & Casinos,,B-
MTN,"Vail Resorts, Inc.",Resorts & Casinos,,BB
SBUX,Starbucks Corporation,Restaurants,"24,408,500,224",BBB+
QSR,Restaurant Brands International Inc.,Restaurants,"15,683,000,320",BB
YUM,"Yum! Brands, Inc.",Restaurants,"13,144,000,512",BB+
DRI,"Darden Restaurants, Inc.",Restaurants,"8,156,800,000",BBB
DPZ,"Domino's Pizza, Inc.",Restaurants,"5,135,773,184",BBB+
WEN,The Wendy's Company,Restaurants,"4,116,592,896",B+
CAKE,The Cheesecake Factory Incorporated,Restaurants,"2,141,740,032",A-
BLMN,"Bloomin' Brands, Inc.",Restaurants,"1,983,243,008",B+
EAT,"Brinker International, Inc.",Restaurants,"1,748,000,000",BB+
CBRL,"Cracker Barrel Old Country Store, Inc.",Restaurants,"1,206,418,944",BB-
MCD,McDonald's Corporation,Restaurants,,BBB+
ARCO,Arcos Dorados Holdings Inc.,Restaurants,,BBB-
MKSI,MKS Inc.,Scientific & Technical Instruments,"4,292,000,000",BB
COHR,Coherent Corp.,Scientific & Technical Instruments,"3,425,114,880",BB
ITRI,"Itron, Inc.",Scientific & Technical Instruments,"1,602,113,024",BB
TRMB,Trimble Inc.,Scientific & Technical Instruments,"1,412,800,000",BBB-
KEYS,"Keysight Technologies, Inc.",Scientific & Technical Instruments,,BBB+
ADT,ADT Inc.,Security & Protection Services,"7,767,962,112",BB
BCO,The Brink's Company,Security & Protection Services,"4,466,500,096",BB+
GEO,"The GEO Group, Inc.",Security & Protection Services,"1,659,895,040",BB-
ALLE,Allegion plc,Security & Protection Services,,BBB
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,"7,267,999,744",A
KLAC,KLA Corporation,Semiconductor Equipment & Materials,"6,145,359,872",A-
ENTG,"Entegris, Inc.",Semiconductor Equipment & Materials,"3,757,499,904",BB
LRCX,Lam Research Corporation,Semiconductor Equipment & Materials,"3,734,479,104",A-
ASML,ASML Holding N.V.,Semiconductor Equipment & Materials,"3,120,645,985",A+
AMKR,"Amkor Technology, Inc.",Semiconductor Equipment & Materials,"1,617,483,008",BB
AVGO,Broadcom Inc.,Semiconductors,"64,907,001,856",A-
INTC,Intel Corporation,Semiconductors,"45,030,998,016",BBB
QCOM,QUALCOMM Incorporated,Semiconductors,"15,269,999,616",A
TXN,Texas Instruments Incorporated,Semiconductors,"14,049,999,872",A+
NVDA,NVIDIA Corporation,Semiconductors,"12,814,000,128",AA
NXPI,NXP Semiconductors N.V.,Semiconductors,"11,724,000,256",BBB+
IFNNY,Infineon Technologies AG,Semiconductors,"9,566,321,038",BBB+
ADI,"Analog Devices, Inc.",Semiconductors,"8,708,730,880",A
ASX,"ASE Technology Holding Co., Ltd.",Semiconductors,"8,093,822,546",BBB
RNECY,Renesas Electronics Corporation,Semiconductors,"7,507,064,099",BBB
MCHP,Microchip Technology Incorporated,Semiconductors,"5,642,200,064",BBB
MRVL,"Marvell Technology, Inc.",Semiconductors,"5,277,199,872",BBB
AMD,"Advanced Micro Devices, Inc.",Semiconductors,"3,871,000,064",A
ON,ON Semiconductor Corporation,Semiconductors,"3,245,799,936",BB+
STM,STMicroelectronics N.V.,Semiconductors,"2,783,000,064",BBB+
UMC,United Microelectronics Corporation,Semiconductors,"2,404,216,311",BBB+
QRVO,"Qorvo, Inc.",Semiconductors,"1,606,237,056",BBB-
SWKS,"Skyworks Solutions, Inc.",Semiconductors,"1,189,600,000",BBB-
CRM,"Salesforce, Inc.",Software - Application,"42,547,998,720",A+
ROP,"Roper Technologies, Inc.",Software - Application,"10,464,000,000",BBB+
ADBE,Adobe Inc.,Software - Application,"6,670,000,128",A+
OTEX,Open Text Corporation,Software - Application,"6,415,261,184",BB+
PAYX,"Paychex, Inc.",Software - Application,"5,013,400,064",BBB+
WDAY,"Workday, Inc.",Software - Application,"3,804,999,936",BBB+
CDNS,"Cadence Design Systems, Inc.",Software - Application,"3,083,354,112",BBB+
ADSK,"Autodesk, Inc.",Software - Application,"2,724,000,000",BBB+
NOW,"ServiceNow, Inc.",Software - Application,"2,431,000,064",A
PTC,PTC Inc.,Software - Application,"1,381,052,032",BB+
TEAM,Atlassian Corporation,Software - Application,"1,243,017,984",BBB
ESTC,Elastic N.V.,Software - Application,"591,563,008",BB
MSFT,Microsoft Corporation,Software - Infrastructure,"125,431,996,416",AAA
SNPS,"Synopsys, Inc.",Software - Infrastructure,"10,841,960,448",BBB
GEN,Gen Digital Inc.,Software - Infrastructure,"8,259,999,744",BB
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,"5,867,704,832",BBB-
WEX,WEX Inc.,Software - Infrastructure,"5,237,100,032",BB-
SABR,Sabre Corporation,Software - Infrastructure,"4,266,260,992",B-
GDDY,GoDaddy Inc.,Software - Infrastructure,"3,848,100,096",BB
NTAP,"NetApp, Inc.",Software - Infrastructure,"2,732,999,936",BBB+
DOX,Amdocs Limited,Software - Infrastructure,"1,067,795,008",BBB
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,"854,988,032",BB+
FTNT,"Fortinet, Inc.",Software - Infrastructure,"567,200,000",BBB+
GPN,Global Payments Inc.,Specialty Business Services,"23,587,248,128",BBB-
ARMK,Aramark,Specialty Business Services,"6,424,145,920",BB
RBA,"RB Global, Inc.",Specialty Business Services,"4,440,399,872",BB+
CTAS,Cintas Corporation,Specialty Business Services,"2,918,187,008",A-
TRI,Thomson Reuters Corporation,Specialty Business Services,"2,699,000,064",BBB+
CMPR,Cimpress plc,Specialty Business Services,"1,745,746,048",BB-
MMS,"Maximus, Inc.",Specialty Business Services,"1,627,986,048",BB+
BV,"BrightView Holdings, Inc.",Specialty Business Services,"902,600,000",B
LIN,Linde plc,Specialty Chemicals,"26,317,000,704",A
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,"18,442,199,040",A
SHW,The Sherwin-Williams Company,Specialty Chemicals,"14,601,400,320",BBB+
LYB,LyondellBasell Industries N.V.,Specialty Chemicals,"14,357,000,192",BBB-
ECL,Ecolab Inc.,Specialty Chemicals,"9,266,499,584",A-
NPCPF,"Nippon Paint Holdings Co., Ltd.",Specialty Chemicals,"8,854,319,162",A
PPG,"PPG Industries, Inc.",Specialty Chemicals,"7,736,999,936",BBB+
AKZOY,Akzo Nobel N.V.,Specialty Chemicals,"7,047,289,831",BBB
SSL,Sasol Limited,Specialty Chemicals,"6,687,803,127",BB+
IFF,International Flavors & Fragrances Inc.,Specialty Chemicals,"6,467,999,744",BBB
WLK,Westlake Corporation,Specialty Chemicals,"6,380,000,256",BBB
PTCAY,PT Chandra Asri Pacific Tbk,Specialty Chemicals,"5,683,763,200",B+
EMN,Eastman Chemical Company,Specialty Chemicals,"5,454,000,128",BBB
ARKAY,Arkema S.A.,Specialty Chemicals,"4,929,527,268",BBB+
CC,The Chemours Company,Specialty Chemicals,"4,392,999,936",BB-
NVZMY,Novozymes A/S,Specialty Chemicals,"3,705,075,103",A-
DD,"DuPont de Nemours, Inc.",Specialty Chemicals,"3,216,999,936",BBB+
AXTA,Axalta Coating Systems Ltd.,Specialty Chemicals,"3,147,000,064",BB+
SYIEF,Symrise AG,Specialty Chemicals,"3,033,637,872",BBB+
ESI,Element Solutions Inc,Specialty Chemicals,"2,161,299,968",BB+
ALB,Albemarle Corporation,Specialty Chemicals,"2,005,991,040",BBB-
ASH,Ashland Inc.,Specialty Chemicals,"1,478,000,000",BB
CBT,Cabot Corporation,Specialty Chemicals,"1,311,000,064",BBB
OEC,Orion S.A.,Specialty Chemicals,"1,146,899,968",B+
MTX,Minerals Technologies Inc.,Specialty Chemicals,"966,200,000",BB
KRO,"Kronos Worldwide, Inc.",Specialty Chemicals,"621,500,032",CCC+
AIQUY,L'Air Liquide S.A.,Specialty Chemicals,,A
SXYAY,Sika AG,Specialty Chemicals,,A-
GVDNY,Givaudan SA,Specialty Chemicals,,A-
SIEGY,Siemens Aktiengesellschaft,Specialty Industrial Machinery,"62,469,434,581",AA-
ETN,Eaton Corporation plc,Specialty Industrial Machinery,"21,833,000,960",A-
EMR,Emerson Electric Co.,Specialty Industrial Machinery,"14,056,999,936",A
PH,Parker-Hannifin Corporation,Specialty Industrial Machinery,"9,582,000,128",BBB+
ITW,Illinois Tool Works Inc.,Specialty Industrial Machinery,"9,148,000,256",A+
